India_news_data
Source,Title,Author,Content/Description,Date
Hindustan Times,"Rich countries off track on climate action, says report",,"New Delhi: Only two developed countries-- Norway and Belarus are on track to achieve their nationally determined contributions (NDCs) for this decade, a new issue brief released by Council on Energy, Environment and Water (CEEW) said on Thursday.

Developed countries are projected to collectively emit around 3.7 giga tonnes extra carbon dioxide (CO2) in 2030, against the reduction goals expressed in their nationally determined contributions (NDCs) under the 2015 Paris Agreement, CEEW said.

""This represents a 38% emission overshoot, with the United States, European Union, and Russia responsible for 83% of this,"" the issue brief, published in collaboration with the TRANGOV project at Wageningen University & Research added. The report draws on developed countries' self-disclosed information in official climate transparency reports. Based on this information, the study assesses past performance, as well as ambition of- and progress towards the implementation of key climate targets.

The brief highlighted that mitigation efforts of developed countries have direct implications for the limited carbon budget available to developing countries, which need sufficient carbon space to address development challenges. For this assessment, authors used datasets officially disclosed by developed countries in their reports as submitted under United Nations Framework Convention on Climate Change (UNFCCC) transparency arrangements. They have considered developed countries as defined as Annex 1 parties under UNFCCC.

""Currently, developed countries' NDCs for 2030 collectively represent a 36% reduction in emissions from their 2019 levels. This is less than the global average of 43% that is required to keep the 1.5°C target alive,"" the report added.

Between 1990 and 2020, developed countries reduced greenhouse gas emissions by 20%, in line with an agreed-upon collective target. However, a substantial part of this reduction can be attributed to the Covid-19 pandemic in 2020 and the high emissions of former Soviet countries in the 1990 base year, the authors have said.

Developed countries are projected to collectively emit 3.7 GtCO2e more in 2030 compared to what is pledged in their NDCs. Moreover, to achieve net-zero emissions goal by 2050, developed countries bank on drastically reducing emissions after 2030. Even if net zero by 2050 is achieved, developed countries would still consume 40-50% of the remaining carbon budget, it added.

""The numbers are clear - even in this critical decade, developed countries are not projected to meet their 2030 NDC targets. This failure has implications for the limited global carbon budget available now, especially for developing countries like India. It is also crucial for the Global South to have produced this analysis and not just rely on handed-down assessments that focus disproportionately on emissions of emerging economies,"" Vaibhav Chaturvedi, Fellow, CEEW in a statement.

""To fulfil their responsibility as historical emitters and financially capable economies, developed countries must do more than meet the global average in emission reduction,"" Chaturvedi added.

""The climate journey of developed countries - historical and proposed - does not show deep enough emission reductions to reflect climate leadership. This means that the burden to mitigate global warming shifts to developing countries, which is problematic in a context where financial support to developing countries to achieve this transition has not been forthcoming, as promised,"" added Sumit Prasad, Programme Lead, CEEW in the statement.

The issue brief recommends that developed countries enhance their NDCs and scale up climate action to bridge the projected 3.7 GtCO2e implementation gap by 2025.

What remains of the global carbon budget to keep global warming below 1.5°C is estimated to be about 500 GtCO2. This amount will be depleted by the end of the decade at the current rate of global emissions according to the Intergovernmental Panel on Climate Change (IPCC). Around 40-50% of the remaining global carbon budget for the 1.5°C target would be consumed by developed countries even if they achieve net zero emissions by 2050, CEEW has projected.",2023-10-26T13:08:02Z
The Times of India,"India releases list of 75 eco-friendly actions to fight climate change, pitches for its adoption at global stage | India News - Times of India",,"NEW DELHI: As part of global LiFE - lifestyle for climate - movement, India has listed out 75 environment-friendly actions for individuals and appealed to people across the globe to adopt it as their contribution to collectively fight the challenges of climate change.

The country will also showcase LiFE as a theme of the country's pavilion at 27th session of the UN climate change conference (COP27) in Sharm el-Sheikh, Egypt from November 6-18.

It'll be the first global platform where India would pitch for adhering to those enlisted individual actions to sensitise participating nations about objectives of the Mission LiFE since its formal launch at Ekta Nagar, Kevadiya in Gujarat last Thursday. The concept was introduced by Prime Minister Narendra Modi while making the country's statement during COP26 at Glasgow in November last year.

The move will bring into focus the unsustainable lifestyle of rich nations whose excessive consumption of resources is considered one of the key factors behind high cumulative historical emissions of greenhouse gases (GHGs) that is responsible for climate change-induced extreme weather events affecting poor and developing countries the most.

Environment minister Bhupender Yadav, meanwhile, on last Friday urged the group of Like-Minded Developing Countries (LMDC) to join Mission LiFE movement, flagging it as a ""pro-people and pro-planet effort"" that seeks to shift the world from ""mindless and wasteful consumption to mindful and deliberate utilization"" of natural resources. India's neighbours China, Pakistan, Bangladesh and Sri Lanka are among over 20 members of this climate negotiation group.

Yadav pitched for taking forward the objectives of the Mission LiFE while participating in the virtual ministerial meeting of the LMDC. The meeting was held to prepare a joint strategy for COP27 which is called the ""COP of Implementation"" (of actions on whatever the countries pledged under the Paris Agreement on climate change).

""The country's pavilion at COP27 will focus on 'LiFE' as a theme the way we had focussed on 'Yoga' in a big way during COP21 in Paris in 2015,"" said an official in the environment ministry.

The 75 comprehensive and non-exhaustive listed actions for individuals under 'Mission LiFE' are related to saving energy, judicious use of water, reduction of single use plastic, sustainable food system, waste reduction, adopting healthy lifestyle and e-waste handling.",2022-10-25T04:53:00Z
Hindustan Times,CO2 now 50% higher than pre-industrial levels: WMO,,"NEW DELHI: Carbon dioxide (CO2) measured at National Oceanic and Atmospheric Administration (NOAA's) Mauna Loa Atmospheric Baseline Observatory peaked for 2022 at 421 parts per million in May. The World Meteorological Organisation (WMO) on Monday said CO2 levels are more than 50% higher than the pre-industrial levels.

The CO2 concentrations in the atmosphere are in territory which has not been experienced for millions of years, scientists from NOAA and at the Scripps Institution of Oceanography, University of California San Diego announced on June 3.

NOAA's measurements of carbon dioxide at the mountaintop observatory on Hawaii's Big Island averaged 420.99 parts per million (ppm), an increase of 1.8 ppm over 2021. Scientists at Scripps, which maintains an independent record, calculated a monthly average of 420.78 ppm.

""The science is irrefutable: humans are altering our climate in ways that our economy and our infrastructure must adapt to. We can see the impacts of climate change around us every day. The relentless increase of carbon dioxide measured at Mauna Loa is a stark reminder that we need to take urgent, serious steps to become a more Climate Ready Nation,"" said NOAA administrator Rick Spinrad.

CO2 levels are now comparable to the Pliocene Climatic Optimum, between 4.1 and 4.5 million years ago, when they were close to, or above 400 ppm. During that time, sea levels were between 5 and 25 metres higher than today's offsite link, high enough to drown many of the world's largest modern cities. Temperatures then averaged 7 degrees Fahrenheit higher than in pre-industrial times, and studies indicate that large forests occupied today's Arctic tundra.

CO2 emissions come from burning fossil fuels for transportation and electricity generation, cement manufacturing, deforestation, agriculture and many others. Along with other greenhouse gases, CO2 traps heat radiating from the planet's surface that would otherwise escape into space, causing the planet's atmosphere to warm steadily.

UN climate change conference begins

The United Nations Bonn climate change conference opened on Monday where governments are expected to discuss mitigation, adaptation, support to developing countries - particularly finance - and loss and damage. It will also lay down the agenda for COP 27 to be held in Sharm El-Sheikh.

""We urgently require political-level interventions and decisions in each of these areas in order to achieve a balanced package. Doing so will send a clear message to the world that we are headed in the right direction. Because the world is going to have one question in Sharm El-Sheikh: what progress have you made since Glasgow?"" UN Climate Change executive secretary Patricia Espinosa said on Monday.

On day 1, there was a delay in adopting two issues in the provisional agenda of the Subsidiary Bodies (SBs) under the UN Framework Convention on Climate Change (UNFCCC). These issues were the global goal on adaptation (GGA) and the Glasgow Dialogue on loss and damage, two issues of priority for developing countries, the Third World Network (TWN), an international research and advocacy organisation said on Tuesday.

The need for balance in the treatment of adaptation and mitigation was stressed several times by many developing countries and their groupings. While the GGA agenda item was eventually adopted as an additional agenda to be considered by Parties, the agenda item on the Glasgow Dialogue on loss and damage was kept in abeyance, TWN said.

The 'Glasgow-Sharm El-Sheikh work programme on the GGA' was established last year. During several meetings held before the official opening of the Bonn conference, Like Minded Developing Countries (LMDC), a grouping of developing countries requested that it be included in the Bonn meeting agenda. Developed countries however were not in favour of the proposal, TWN said.

10-member Indian delegation at Bonn conference

The global goal on adaptation aims to provide a system for tracking and assessing countries' progress on adaptation actions and providing adaptation finance. During an informal briefing for journalists by union environment ministry on Tuesday, a senior official said: ""Adaptation finance should be equal to mitigation finance. The developed nations do not want to invest in adaptation because the return on investments is low. But adaptation is a matter of existence for island nations and many developing countries. Going forward finance for adaptation and loss and damage will be very important and India will take this forward.""

A delegation of 10 officials from India are in Bonn for the negotiations, the official said.

He added that India will be submitting its updated nationally determined contribution (NDC) under Paris Agreement before COP 27 at Sharm El-Sheikh.",2022-06-07T19:37:00Z
The Times of India,There is far less support for climate policies in rich nations: CEA - Times of India,,"NEW DELHI: Chief economic adviser (CEA) V Anantha Nageswaran on Monday said that developed countries need to convince their public about the urgency to adopt climate change mitigation policies and observed that there is far less support for climate policies, including tax on fossil fuels, in rich nations.

Referring to the issue of funding by developed nations to poor countries to deal with climate change, Nageswaran said it was unrealistic because they have far bigger challenges to face at home.

In high income countries, there is far less support for climate policies, including tax on fossil fuels, he said at an event here.

While noting that when developed countries tell developing countries and emerging economies what they should be doing going forward, Nageswaran said there is an even urgent and more important task in their hands.

""That is to convince their own public of the importance of climate change mitigation policies.

""... they have far bigger problems to make climate policies work in their countries without hurting themselves fiscally,"" he said.

Citing a report, Nageswaran pointed out that while overall support for green policy is lowest in Denmark, France, Germany followed by Australia, countries particularly opposed to carbon taxes are Australia, Canada, Denmark, Germany, the UK and the US.

""Therefore, when we look for funding support from developed countries, it is unrealistic because they have far bigger challenges to face at home,"" he said.

Emphasising that finance is of key essence, and there is a need to mobilise finance through public, private and multilateral sources, Nageswaran said, ""we should not jeopardise fiscal health of both developed and developing countries.""

He pointed out that post 2008 and post 2020, both developed and developing countries are facing huge debt burdens and therefore, debt servicing will become onerous as interest rates rise.

The CEA also pitched for greater investments in metals and minerals for renewable energy technologies, which are highly metal-intensive.

""Even if investment is made, we have to have an international regulator to be able to ensure that they are available to all countries if we want all countries to progress to net-zero emissions by 2050 or 2070 at the same time...imagine the quantum of these metals and minerals required,"" he noted.

He said infrastructure development is critical for the Indian economy and asset monetisation is about economic efficiency of assets.

Last year, Prime Minister Narendra Modi announced a bold pledge that India will achieve net zero carbon emissions by 2070 and asserted that it is the only country that is delivering in ""letter and spirit"" the commitments on tackling climate change under the Paris Agreement.

Modi had also said that India is putting climate change at centre of its policies and stressed on the need to include climate adaptation policies in school syllabus to make the next generation aware of the issues.",2022-06-06T18:17:00Z
Hindustan Times,"State did well in handling pandemic, says Governor",,"The Maharashtra Vikas Aghadi (MVA) government handled the Covid-19 crisis well, Governor BS Koshyari said in his address on Thursday

The Maharashtra Vikas Aghadi (MVA) government handled the Covid-19 crisis well, Governor BS Koshyari said in his address on Thursday. Issues such as the state's tackling of the pandemic, the response to the second and third wave, ability to attract investments despite Covid-19, and the response to climate change figured in the Governor's address to the state legislature which is considered a policy statement of the government.

Koshyari wound up his address abruptly due to sloganeering by members from ruling and opposition sides. The written speech was tabled in the House.

""The government was fully prepared after the first wave of infections in August and September 2020. As a result, when the next wave hit the State between March and June 2021, there were 4.50 lakh isolation beds, 40,000 ICU beds, 1.35 lakh oxygen beds, and over 15,000 ventilators in 6,500 facilitation centres. Testing facilities are accessible in over 600 laboratories,"" he added.

The Governor said the shortfall in medical oxygen was overcome by augmenting the liquid oxygen storage capacity and the additional 5,000 metric tonnes that was planned, while 2,700 metric tonnes have been created. ""A total of 114 new oxygen production projects are being set up in the State with an investment of ₹1,870 crore. This will increase our oxygen production capacity by 1,480 metric tonnes and make the state self-reliant.""

As per the Supreme Court's directives, Maharashtra had paid a compensation of ₹50,000 each to the kin of those died of Covid-19 in over 1.40 lakh cases, he said. ""Till date, close to 91% of adult population in Maharashtra have received at least one dose of the Covid-19 vaccine and 70% of adult population are fully vaccinated. More than 57% of those in the age group of 15-18 have received their first dose.""

Koshyari also referred to various welfare schemes for those affected by the pandemic like health workers, orphans and widows, financial assistance for artistes and rickshaw drivers, and the Shivbhojan scheme.

""My government's financial decision-making was made more challenging due to the economic slowdown caused by Covid-19. This was further compounded as a result of non-receipt of GST compensation of ₹29,942 crore, which was payable up to February 18, 2022, by the Central government to the State,"" he said. However, despite the financial crunch, the state government managed to restart economic activities, attract industrial investments, and at the same time, took initiatives to protect the environment, he said.

""Despite the slowdown in the economy during the pandemic, my government signed 98 investment agreements under 'Magnetic Maharashtra 2.0', involving investments of ₹1.89 lakh crore and creation of 3.30 lakh jobs,"" the Governor said.

Koshyari further said that to mitigate the impact of climate change, the government had established the Maharashtra Council on Climate Change under the chairmanship of the chief minister and the co-chairmanship of the deputy chief minister. ""Recognising Maharashtra's efforts in tackling climate change, my government has won the 'Inspiring Regional Leadership' award as part of 'Under 2 Coalition Leadership Awards 2021' at COP26 in Scotland. I am proud to say that Maharashtra is the only State in India to receive this award.""

Under 'Majhi Vasundhara Abhiyan-I,' the government had planted 21.94 lakh trees and created 1,650 new green areas, resulting in 3.71 lakh tonnes of CO2 sequestration, he said. ""To create awareness of climate change among schoolchildren, it is developing an environment curriculum from standard I to VIII. Compared to last year, there has been an increase in electric vehicle registrations by 157%.""

He expressed the resolve to stand up for the rights of Marathi-speaking people in Maharashtra's border areas with Karnataka and strongly condemned the defacing of the statue of Chhatrapati Shivaji Maharaj in Bengaluru on December 16, 2021, and the throwing of ink on the president of Madhyavarti Maharashtra Ekikaran Samiti in Belgaum. ""The many repressive acts of the Karnataka government against Marathi-speaking people of the disputed border areas are condemnable,"" the Governor said.",2022-03-03T19:00:00Z
The Times of India,Global Biofuel Alliance key step to self-reliance: President Droupadi Murmu | Ahmedabad News - Times of India,"TNN, Updated Sep","GANDHINAGAR: President Droupadi Murmu said on Wednesday that the Global Biofuel Alliance, unveiled during the G20 summit, will help make the country become self-reliant in the energy sector. She said the entire world is experiencing the negative effects of climate change and global warming, mainly caused by the use of fossil fuels.

President Murmu, who was in the state on Wednesday, launched the National e-Vidhan Application (NeVA), which will facilitate paperless proceedings at the Gujarat assembly.

She said that NeVA will turn the Gujarat assembly into a ""digital house"", and it can access and adopt best practices of Parliament and other state assemblies using this application.

""NeVA is a progressive transformation which will bring transparency and speed in the functioning of the Gujarat assembly. It will also contribute towards saving the environment,"" she said.

Addressing the assembly, the President said, ""Through the G20 summit, India has announced setting up of the Global Biofuel Alliance. Countries like the US and Brazil along with 12 international organizations are part of this alliance. After the International Solar Alliance, the Global Biofuel Alliance is an important step taken for environment conservation and for achieving self-reliance in the energy sector.""

Expressing concerns about the negative impact of fossil fuels being experienced around the world, Murmu said, ""To tackle this situation, G20 nations under India's presidency have agreed to reduce the emission of greenhouse gases by 43 per cent by 2030. This resolution by G20 nations is significant because the contribution of G20 nations in the total emission is nearly 80 per cent."" Murmu also said the representation of women in politics should increase.",2023-09-14T00:07:03Z
The Times of India,"Like-minded Individuals Take Up Campaign On Climate Change, Youth | - Times of India",Deepthi Sanjiv,"Mangaluru: A group of like-minded individuals, through the Biodiversity Environment and Agriculture Study Centre (BEAS), are reaching out to the high schools and colleges located in the Western Ghat region of Malnad, Dakshina Kannada, and Udupi. The three-day campaign, on climate change and youth in Dakshina Kannada district, was held at Government First Grade College and Sri Gurudeva First Grade College, in Belthangady on Monday.

Nagaraj Koove, an environmentalist and core member of the campaign, told TOI that the climate change and youth campaign was launched at Koppa on June 19. The team has completed 88 sessions so far. Colleges and schools in nine taluks - Belthangady, Mudigere, Sringeri, Karkala, Koppa, NR Pura, Kalasa, Thirthahalli, Chikkamagaluru and Karkala - are being covered. The first phase of the campaign is expected to conclude this month end, he said.

""We are all witnessing climate change and it is youngsters, who will be witnessing the impact and hence they need to understand the factors contributing to climate change. We are targeting students studying in high schools and higher classes, including professional courses. This two-hour programme includes a video presentation on climate change, followed by an interaction, and screening of a documentary on Karnataka's biodiversity and how climate change is affecting it. Topics such as the impact of climate change on agriculture and livelihood are touched upon. A pamphlet is distributed with details, including how to mitigate climate change and the session ends with a quiz. Opinions of students are also taken into consideration,"" he said .

Funds for this campaign are raised through crowdfunding. ""In June we released a campaign poster on social media. Several well-wishers have contributed to the cause. Youths and farmers are the backbone of this campaign . The first activity was on seed collection and building a nursery. Later, the youths and students will be introduced to nature photography and to more environment-related subjects,"" said Nagaraj.

Interested students can also join the WhatsApp group, where content on science, environment, and agriculture is shared, he added.",2023-09-12T03:44:57Z
The Times of India,"wmo:  Greenhouse gas levels rise further, claims WMO report | Ludhiana News - Times of India",,"BATHINDA: The World Meteorological Organization (WMO) greenhouse gas bulletin published on Monday paints a grim picture on emissions and stresses the need for stark, scientific discussions for climate-change negotiations at the UN climate conference COP26 coming up in Glasgow.

Claiming that the world was ""way of track"", WMO head Petteri Taalas said, ""At the current rate of increase in greenhouse gas concentrations, we will see a temperature increase by the end of this century far in excess of the Paris Agreement targets of 1.5 to 2 degrees Celsius above the pre-industrial levels."" The WMO measured the concentration of carbon dioxide (CO2) in 2020 at 149 per cent of the pre-industrial level, while it recorded methane level at 262 per cent and nitrous oxide level at 123 per cent compared to when humans began disrupting the earth's natural equilibrium in 1750.

The coronavirus-driven economic slowdown sparked a temporary decline in new emissions but it had no discernible impact on the atmospheric levels of greenhouse gases or their growth rates. As emissions continue, so too would rising global temperatures. Given the long life of CO2, the current temperature level will persist for decades, even if the emissions are rapidly reduced to net zero.

From intense heat and rainfall to sea-level rise and ocean acidification, rising temperatures will be accompanied by more weather extremes, all with far-reaching socio-economic impacts. The WMO chief said, ""The last the Earth experienced a comparable concentration of CO2 was 30 to 50 lakh years ago, when the planet was 2-3°C warmer and sea level 10 to 20 meters higher. But there weren't 7.8 billion people then.""

Roughly, half of today's human-emitted CO2 remains in the atmosphere and the other half is taken up by oceans and land ecosystems, the bulletin flagged.",2021-10-30T12:12:00Z
The Times of India,'Rogue attitude' of US hampered progress at Bonn summit: CSE - Times of India,,"New Delhi, Nov 18 () The ""rogue and obstructionist attitude"" of the US ensured progress at the UN climate summit in Germany's Bonn city was extremely slow and the ""old divide"" between the developed and the developing nations remained, a green body said here today.

New Delhi, Nov 18 () The ""rogue and obstructionist attitude"" of the US ensured progress at the UN climate summit in Germany's Bonn city was extremely slow and the ""old divide"" between the developed and the developing nations remained, a green body said here today.

The 23rd meeting of the Conference of Parties (CoP-23) of the UN Framework Convention on Climate Change, which ended in Bonn on Friday, had no real headway in resolving outstanding issues on the agenda, according to an analysis by the Delhi- based Centre for Science and Environment (CSE).

A CSE team was stationed in Bonn through the conference.

""The US's rogue and obstructionist attitude in the CoP process ensured that progress was extremely slow and hampered on several occasions and the old divide between developed and developing nations remained,"" the analysis said.

The Bonn summit was the first UN meeting on climate change since the US President Donald Trump announced intention to pull out of the historic Paris Agreement on Climate Change in June.

The CSE, however, said that the US continued to dictate the terms of negotiations, blocked progress on equity and finance at the Bonn summit.

""Instead of working together and standing united against the US intransigence, the old bickering between developed and developing nations continued. This meant that the US continued with its business-as-usual obstructionist agenda in the negotiations and hampered meaningful progress on equity and finance issues across a range of agenda items, including stock take, accounting, enhanced transparency framework, adaptation, technology transfer,"" said Chandra Bhushan, deputy director general of the CSE.

Vijeta Rattani, another climate analyst at the CSE, maintained that the US announcement was only a political decision with no legal bearing on the Paris Agreement, which has almost no legal options to contain the United States.

""Ideally, the US, having made its anti-climate agenda clear, should not have been allowed under any circumstances to determine the course of negotiations. Unfortunately, that did not happen,"" Rattani said.

The main outcomes, CSE maintained, were the 'Talanoa Dialogue, earlier referred to as the Facilitative Dialogue.

It is about stock take of the collective efforts, the outcome of which would determine the next round of the Nationally Determined Contributions in 2020.

The Dialogue would contain a technical phase - where Parties would provide the inputs - and a political phase, in which the outcome would inform improving of NDCs in 2020.

The final decision of the CoP, however, does not provide the details of the content and scope of the NDCs, the CSE said.

Another outcome, the CSE said, was that the developing countries succeeded in bringing immediate actions and pre-2020 commitments into the limelight.

""India was leading the demand on pre-2020 action. Parties agreed that there will be two stock takes to discuss pre-2020 commitments - in 2018 and 2019 - before the Paris Agreement becomes operative in 2020,"" the CSE said. ""India's stress on pre-2020 actions is encouraging, but it is more in the nature of procedure than action. It will require more than the ratification of the Doha amendment to make developed countries raise ambition and support commitments. The big question now is how to ensure that the rulebook for Paris Agreement is fair, equitable and ambitious, keeping in mind the fact that the US remains active and obstructionist in negotiations,"" Bhushan added. TDS MP ABH

Get latest news & live updates on the go on your pc with News App. Download The Times of India news app for your device.",2017-11-19T03:45:00Z
Hindustan Times,"Past 12 months hottest year-long period in history, India among worst hit: Report",,"New Delhi: Global temperatures set a new 12-month record, exceeding 1.3 degrees Celsius above pre-industrial levels from November 2022 to October this year, a new analysis of international climate data released by Climate Central said on Thursday.

This is the hottest year-long period in recorded history, according to the analysis with 170 countries recording mean temperatures that exceeded 30-year normals.

Around 7.8 billion people or 99% of humanity were exposed to above-average temperatures except Iceland and Lesotho which recorded cooler-than-normal temperatures, Climate Central, a non-profit science and news organisation said.

The analysis using the Climate Shift Index (CSI) -- Climate Central's daily local temperature attribution system -- indicates that human-caused climate change significantly raised temperatures over the last 12 months. CSI applies a peer reviewed methodology to attribute climate impacts. It is based on a study that was published in journal of Advances in Statistical Climatology, Meteorology and Oceanography last year. For example, CSI level 3 indicates that human-caused climate change made those temperatures at least three times more likely.

The analysis looks at daily average temperatures and heat waves and includes data for 175 countries, 154 states, and 920 major cities.

Least developed countries and small island nations had highest exposure to climate-driven heat, but climate change touched every country, and intense heat waves were recorded in the US, Europe, India, and China.

Highest average CSI was recorded for Jamaica, with an average CSI of 4.5 out of a maximum of 5 in the past 12 months. This means that climate change had an extraordinary impact on the average person in Jamaica who experienced temperatures made more than four times more likely by human-caused climate change. Guatemala (4.4) and Rwanda (4.1), also had 12-month average CSI values above 4.

Also Read: 2023: The year that broke climate records

India recorded average CSI of 1 but the CSI increased to 1.6 between May and October this year. The large area of many of the G20 countries tends to mask the climate signal when looking at country-wide averages as is the case for India, the analysis said. Several Indian states recorded high CSIs during this year since May including Kerala (3.6), Goa (3.4), Andaman and Nicobar (3.3), Puducherry (3.2), Mizoram (3.0), Karnataka (3.0), Meghalaya (2.9), Manipur (2.8), Tripura (2.8) among others.

While the CSI averaged across the US population was relatively low, several US states also had high average CSI values including Hawaii (2.8), Louisiana (1.9), Texas (1.9) etc.

Also, in India, 1.2 billion residents -- 86% of the population -- experienced CSI level 3 temperatures on 30 or more days. In China that figure was 513 million residents or 35% of the population; and in the United States, 88 million -- 26% of the population.

""This 12-month record is exactly what we expect from a global climate fuelled by carbon pollution,"" said Andrew Pershing, vice president for science at Climate Central.

""Records will continue to fall next year, especially as the growing El Niño begins to take hold, exposing billions to unusual heat. While climate impacts are most acute in developing countries near the equator, seeing climate-fueled streaks of extreme heat in the US, India, Japan, and Europe underscores that no one is safe from climate change,"" he added.

The analysis comes days ahead of the UN Climate Summit (COP28) to be held in Dubai. One of the main deliverables of COP28 is the global stocktake (GST). GST is a review of collective progress towards achieving the purpose and long-term goals of the Paris Agreement.

HT reported on September 9 that the synthesis report of the first Global Stocktake released by United Nations Framework Convention on Climate Change found that global efforts on climate crisis are falling short of meeting the Paris Agreement goals of keeping global warming under 2 degrees C (over pre-industrial levels) and pursuing efforts to keep it under 1.5 degrees C. HT had reported that this year the 1.5 degree C goal was breached temporarily on certain months.

""The GST is an opportunity for the world to reset the ambition and the cooperation agenda. I believe the GST should lay down a very ambitious pathway going forward but one that recognises a rule based international system and is based on common but differentiated responsibilities. GST is also an opportunity to correct the wrongs in terms of adaptation and loss and damage and to recognise the need for grant based concessional finance for the countries of the global South,"" said Sunita Narain, director general of Centre for Science and Environment and is on COP28's advisory committee.",2023-11-09T12:42:20Z
The Times of India,'There are no non-smokers in cities that are grappling with air pollution' | Lucknow News - Times of India,"TNN, Sep","LUCKNOW: There are no non-smokers in cities that are grappling with air pollution. In fact, living in a city that sees an Air Quality Index (AQI) of 140 is close to smoking 7-8 cigarettes a day. Lucknow, at least during the peak winter period, is one of the nine such cities in Uttar Pradesh.

These were a few of the disturbing facts that came to the fore during a one-day workshop on air pollution and climate change organized by the Uttar Pradesh Pollution Control Board (UPPCB) and the Lung Care Foundation (LCF) at Indian Industries Association (IIA) Bhawan on Wednesday.

Titled Solutions for Health, Air Pollution, and Environment in Uttar Pradesh (SHAPE-UP), the one-day workshop primarily hinged on urging people for lifestyle changes and collective efforts to mitigate the challenges of climate change.

""Of all the patients suffering lung infection that I used to treat in the 1980s, about 85% were smokers. But now, over 50% of my patients are non-smokers but have lungs resembling that of a smoker who smokes 7-8 cigarettes a day,"" pointed out Lung Care Foundation founder and trustee Dr Arvind Kumar.

Expressing concerns over revelations made by Kumar, Arun Kumar Saxena, minister of state (independent), environment and climate change, suggested that reliance on solar energy, and LPG gas for cooking instead of wood or stubble can bring a significant change.

Manoj Singh, ACS, environment, forest, and climate change, went on to suggest that climate is an issue of intergenerational justice.

""While Physics and Chemistry exist across our solar system, biological life is only on Earth. But we are facing severe headwinds towards a catastrophe. Thus, it is our collective responsibility to see what we are leaving behind for the next generation,"" Singh noted.

Another issue that came to the fore was the emissions from the industries and the need to make manufacturing among the Micro, Small, and medium Enterprises (MSMEs) greener and bring accountability among the entrepreneurs.

""Don't penalize entrepreneurs. Help them with technological support by promoting biodiesel or other technology. Ensure that we don't rely on diesel generators by providing seamless power supply,"" noted IIA president Neeraj Singhal.

The following sessions called upon people to adopt simple measures like quitting smoking, burning wood for cooking or other purposes, and planting saplings. The discussions, however, stopped short of suggesting any concrete action plan to deal with major contributors of air pollution such as emissions from industries and automobiles and sustainable waste management.

""Civil society plays a pivotal role in bringing long-term behavioral change. Thus, their role becomes imperative in taking this message to the people and stress upon lifestyle changes that they can incorporate to mitigate challenges of climate change,"" said former director general at CRPF and patron at LCF AP Maheshwari.",2023-09-27T14:07:11Z
The Hindu,Carbon credit trading scheme comes into being to reduce GHG emissions,,"HYDERABAD

The Bureau of Energy Efficiency (BEE), an agency established by the Ministry of Power to create awareness and disseminate information on energy efficiency and conservation as also help develop strategies and policies towards that end, has launched the Carbon Credit Trading Scheme to address the issue of greenhouse gas (GHG) emissions and mitigation of climate change in the country.

The agency has appealed to all stakeholders to actively participate and provide unwavering support for the successful implementation of the scheme. According to BEE authorities, the scheme is aimed at facilitating trading of carbon credits and incentivise and reward entities that reduce, remove or avoid greenhouse gas emissions.

The implementation of the scheme, came into force on June 28, underscores the urgent need to combat climate change and recognise the pivotal role of market-based mechanisms in achieving emission reduction targets. The Carbon Credit Trading Scheme assigns a value, known as a carbon credit, to each tonne of carbon dioxide equivalent (tCO2e) reduced or avoided. These credits could be bought, sold and traded within the country's carbon market framework.

Director General of BEE Abhay Bakre has stated that introduction of the Carbon Credit Trading Scheme is a historic and flagship programme of the Union Government and it signifies a critical step towards mitigating climate change. ""By incentivising emission reduction efforts and establishing a market for carbon credits, the scheme encourages active participation from entities across various sectors in greenhouse gas reduction activities. The initiative will not only help India meet its emission reduction commitments but also create tremendous economic opportunities and promote sustainable development"", he explained.

The BEE has appealed to proactive States such as Andhra Pradesh, Telangana, Karnataka, Kerala, Rajasthan, Gujarat, Assam, Haryana, Maharashtra, Punjab and others to play a key role in ensuring the success of the scheme. Recognising that such active participation would foster industrialisation, create employment opportunities and accelerate economic development, the BEE authorities said the country could pave the way for a greener and more sustainable future by embracing the Carbon Credit Trading Scheme.

The Centre has constituted National Steering Committee headed by Secretary in the MoP to oversee and govern functioning of the carbon market. It comprises representatives from various Ministries, emissions and climate change experts and members from the energy sector. As the administrator, the BEE will identify sectors with potential for emission reductions, develop targets for obligated entities under the compliance mechanism and issue carbon credit certificates based on recommendations from the National Steering Committee.

Further, the committee will also establish market stability mechanisms, accredit carbon verification agencies and maintain the necessary IT infrastructure and database essential for the market's seamless functioning.",2023-07-10T02:29:00Z
